"job_title_short","category","count","pct"
"All Postings","Degree Required","546329","69.36"
"All Postings","No Degree Required","241357","30.64"
"All Postings","Non-Remote","718080","91.16"
"All Postings","Remote","69606","8.84"
"Business Analyst","Degree Required","36206","73.65"
"Business Analyst","No Degree Required","12954","26.35"
"Business Analyst","Non-Remote","46374","94.33"
"Business Analyst","Remote","2786","5.67"
"Cloud Engineer","Degree Required","6445","52.20"
"Cloud Engineer","No Degree Required","5901","47.80"
"Cloud Engineer","Non-Remote","11775","95.38"
"Cloud Engineer","Remote","571","4.62"
"Data Analyst","Degree Required","120536","61.31"
"Data Analyst","No Degree Required","76057","38.69"
"Data Analyst","Non-Remote","183262","93.22"
"Data Analyst","Remote","13331","6.78"
"Data Engineer","Degree Required","105464","56.49"
"Data Engineer","No Degree Required","81215","43.51"
"Data Engineer","Non-Remote","165418","88.61"
"Data Engineer","Remote","21261","11.39"
"Data Scientist","Degree Required","162337","93.99"
"Data Scientist","No Degree Required","10389","6.01"
"Data Scientist","Non-Remote","158192","91.59"
"Data Scientist","Remote","14534","8.41"
"Machine Learning Engineer","Degree Required","13087","92.78"
"Machine Learning Engineer","No Degree Required","1019","7.22"
"Machine Learning Engineer","Non-Remote","12626","89.51"
"Machine Learning Engineer","Remote","1480","10.49"
"Senior Data Analyst","Degree Required","18675","63.76"
"Senior Data Analyst","No Degree Required","10614","36.24"
"Senior Data Analyst","Non-Remote","26937","91.97"
"Senior Data Analyst","Remote","2352","8.03"
"Senior Data Engineer","Degree Required","25324","56.66"
"Senior Data Engineer","No Degree Required","19368","43.34"
"Senior Data Engineer","Non-Remote","38128","85.31"
"Senior Data Engineer","Remote","6564","14.69"
"Senior Data Scientist","Degree Required","34925","94.20"
"Senior Data Scientist","No Degree Required","2151","5.80"
"Senior Data Scientist","Non-Remote","33267","89.73"
"Senior Data Scientist","Remote","3809","10.27"
"Software Engineer","Degree Required","23330","51.82"
"Software Engineer","No Degree Required","21689","48.18"
"Software Engineer","Non-Remote","42101","93.52"
"Software Engineer","Remote","2918","6.48"
